Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22 00:00:00,8727.072265625,8750.759765625,8727.072265625,8745.89453125,8745.89453125,0.0
2020-01-22 01:00:00,8741.857421875,8748.908203125,8728.51953125,8736.94140625,8736.94140625,0.0
2020-01-22 02:00:00,8738.4375,8747.2998046875,8725.837890625,8732.8232421875,8732.8232421875,0.0
2020-01-22 03:00:00,8731.9052734375,8737.6044921875,8715.3583984375,8715.654296875,8715.654296875,0.0
2020-01-22 04:00:00,8717.55078125,8728.798828125,8717.55078125,8724.2724609375,8724.2724609375,0.0
2020-01-22 05:00:00,8722.244140625,8741.2607421875,8722.244140625,8737.76171875,8737.76171875,0.0
2020-01-22 06:00:00,8738.7451171875,8753.7978515625,8723.953125,8732.3916015625,8732.3916015625,0.0
2020-01-22 07:00:00,8734.9462890625,8751.787109375,8730.1162109375,8751.787109375,8751.787109375,60983296.0
2020-01-22 08:00:00,8753.4990234375,8792.994140625,8734.03125,8737.5712890625,8737.5712890625,567171072.0
2020-01-22 09:00:00,8742.2255859375,8742.2255859375,8681.115234375,8685.42578125,8685.42578125,473483264.0
2020-01-22 10:00:00,8684.9775390625,8690.5859375,8671.7353515625,8689.6181640625,8689.6181640625,114202624.0
2020-01-22 11:00:00,8691.4912109375,8691.4912109375,8663.294921875,8674.2431640625,8674.2431640625,0.0
2020-01-22 12:00:00,8674.8056640625,8674.8056640625,8651.5361328125,8665.9560546875,8665.9560546875,47482880.0
2020-01-22 13:00:00,8664.7861328125,8677.7529296875,8657.939453125,8673.1416015625,8673.1416015625,0.0
2020-01-22 14:00:00,8672.1611328125,8672.720703125,8650.419921875,8650.9404296875,8650.9404296875,0.0
2020-01-22 15:00:00,8651.6376953125,8668.455078125,8649.2001953125,8661.83984375,8661.83984375,140453888.0
2020-01-22 16:00:00,8658.1591796875,8665.4443359375,8652.4296875,8661.9248046875,8661.9248046875,0.0
2020-01-22 17:00:00,8660.1337890625,8696.708984375,8636.7470703125,8686.92578125,8686.92578125,170403840.0
2020-01-22 18:00:00,8690.4482421875,8690.4482421875,8669.1064453125,8685.603515625,8685.603515625,0.0
2020-01-22 19:00:00,8684.3369140625,8684.869140625,8668.2431640625,8675.025390625,8675.025390625,0.0
2020-01-22 20:00:00,8674.859375,8676.3876953125,8656.1650390625,8673.7841796875,8673.7841796875,0.0
2020-01-22 21:00:00,8674.025390625,8674.025390625,8657.6357421875,8670.4560546875,8670.4560546875,0.0
2020-01-22 22:00:00,8670.9443359375,8672.84765625,8663.98828125,8666.765625,8666.765625,0.0
2020-01-22 23:00:00,8666.6044921875,8674.6943359375,8662.2490234375,8665.1162109375,8665.1162109375,291489792.0
2020-01-23 00:00:00,8664.33984375,8680.8759765625,8660.4326171875,8680.8759765625,8680.8759765625,95444992.0
2020-01-23 01:00:00,8682.1552734375,8687.7470703125,8657.7216796875,8665.46484375,8665.46484375,0.0
2020-01-23 02:00:00,8664.7734375,8665.43359375,8621.234375,8626.7041015625,8626.7041015625,125552640.0
2020-01-23 03:00:00,8626.2294921875,8626.92578125,8598.462890625,8605.3076171875,8605.3076171875,232681472.0
2020-01-23 04:00:00,8607.013671875,8618.4921875,8604.5302734375,8608.703125,8608.703125,71811072.0
2020-01-23 05:00:00,8608.3388671875,8622.25,8592.46484375,8592.46484375,8592.46484375,36618240.0
2020-01-23 06:00:00,8593.318359375,8593.318359375,8536.2080078125,8559.87109375,8559.87109375,501938176.0
2020-01-23 07:00:00,8563.0087890625,8567.830078125,8531.365234375,8534.2724609375,8534.2724609375,49987584.0
2020-01-23 08:00:00,8535.66796875,8596.1904296875,8524.833984375,8590.6416015625,8590.6416015625,0.0
2020-01-23 09:00:00,8590.7724609375,8619.8955078125,8541.8447265625,8542.9189453125,8542.9189453125,0.0
2020-01-23 10:00:00,8536.9619140625,8536.9619140625,8462.060546875,8466.677734375,8466.677734375,309895168.0
2020-01-23 11:00:00,8458.8681640625,8458.8681640625,8437.75390625,8445.4365234375,8445.4365234375,370286592.0
2020-01-23 12:00:00,8446.482421875,8466.9482421875,8434.2353515625,8446.962890625,8446.962890625,89581568.0
2020-01-23 13:00:00,8444.68359375,8453.4365234375,8421.451171875,8427.23828125,8427.23828125,416419840.0
2020-01-23 14:00:00,8426.1318359375,8426.1318359375,8376.466796875,8380.662109375,8380.662109375,179253248.0
2020-01-23 15:00:00,8381.0732421875,8381.0732421875,8353.7373046875,8374.041015625,8374.041015625,201723904.0
2020-01-23 16:00:00,8372.31640625,8395.275390625,8360.8115234375,8376.365234375,8376.365234375,227985408.0
2020-01-23 17:00:00,8374.2421875,8374.2421875,8353.8427734375,8360.26171875,8360.26171875,0.0
2020-01-23 18:00:00,8360.8818359375,8374.5400390625,8345.33984375,8345.33984375,8345.33984375,37681152.0
2020-01-23 19:00:00,8341.7978515625,8356.4921875,8333.6376953125,8348.408203125,8348.408203125,249739264.0
2020-01-23 20:00:00,8349.4521484375,8379.548828125,8348.12890625,8377.2060546875,8377.2060546875,242407424.0
2020-01-23 21:00:00,8378.3681640625,8380.564453125,8359.2373046875,8377.2744140625,8377.2744140625,99022848.0
2020-01-23 22:00:00,8374.0966796875,8420.3046875,8373.34375,8410.248046875,8410.248046875,375687168.0
2020-01-23 23:00:00,8408.7998046875,8436.7998046875,8407.7470703125,8416.46875,8416.46875,151631872.0
2020-01-24 00:00:00,8414.1005859375,8416.1142578125,8373.490234375,8406.515625,8406.515625,0.0
2020-01-24 01:00:00,8407.59375,8412.4833984375,8397.1083984375,8411.89453125,8411.89453125,0.0
2020-01-24 02:00:00,8411.986328125,8414.9345703125,8380.43359375,8380.43359375,8380.43359375,0.0
2020-01-24 03:00:00,8380.458984375,8380.458984375,8319.7509765625,8319.7509765625,8319.7509765625,15474688.0
2020-01-24 04:00:00,8323.84765625,8351.98828125,8316.2783203125,8345.9638671875,8345.9638671875,305238016.0
2020-01-24 05:00:00,8343.388671875,8351.2294921875,8317.9462890625,8319.203125,8319.203125,25866240.0
2020-01-24 06:00:00,8319.68359375,8346.96875,8319.68359375,8336.0166015625,8336.0166015625,0.0
2020-01-24 07:00:00,8334.75390625,8354.0390625,8334.283203125,8354.0390625,8354.0390625,0.0
2020-01-24 08:00:00,8353.810546875,8356.1787109375,8326.9130859375,8341.9169921875,8341.9169921875,0.0
2020-01-24 09:00:00,8344.31640625,8351.4775390625,8342.51171875,8345.4599609375,8345.4599609375,0.0
2020-01-24 10:00:00,8346.09375,8351.724609375,8289.478515625,8289.478515625,8289.478515625,0.0
2020-01-24 11:00:00,8288.892578125,8310.171875,8271.169921875,8271.169921875,8271.169921875,0.0
2020-01-24 12:00:00,8266.8408203125,8382.8701171875,8266.8408203125,8382.8701171875,8382.8701171875,909922304.0
2020-01-24 13:00:00,8381.546875,8435.7734375,8381.546875,8435.7734375,8435.7734375,167231488.0
2020-01-24 14:00:00,8434.7841796875,8445.48046875,8419.9072265625,8445.48046875,8445.48046875,0.0
